C010101,SI_POV_DAY1,BTN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,IND,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,IRN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MDV,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,NPL,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,PAK,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,LKA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SDG_ESEASI,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,CHN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MNG,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,KHM,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,IDN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,LAO,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MYS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,PHL,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,THA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,TLS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,VNM,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SDG_NAWA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,ARM,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,AZE,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,GEO,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,PSE,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,TUR,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MAR,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SDN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,TUN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SDG_AFR_SSA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,BDI,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,COM,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,DJI,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,ETH,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
